pxcor,pycor,patch ID,block ID,patch richness
68,46,68_46,2303,7
98,73,98_73,3604,11
94,12,94_12,604,9
47,49,47_49,2402,6
0,96,0_96,4800,6
35,51,35_51,2501,2
87,55,87_55,2704,1
23,60,23_60,3001,6
89,14,89_14,704,2
41,98,41_98,4902,6
77,15,77_15,703,5
75,48,75_48,2403,5
91,13,91_13,604,3
7,36,7_36,1800,2
54,92,54_92,4602,6
24,43,24_43,2101,5
77,34,77_34,1703,5
73,93,73_93,4603,5
57,76,57_76,3802,10
57,19,57_19,902,4
33,8,33_8,401,6
96,65,96_65,3204,7
31,66,31_66,3301,18
1,28,1_28,1400,3
93,83,93_83,4104,5
8,80,8_80,4000,16
92,65,92_65,3204,6
49,15,49_15,702,10
86,98,86_98,4904,7
69,69,69_69,3403,4
22,57,22_57,2801,21
62,69,62_69,3403,14
67,41,67_41,2003,13
46,8,46_8,402,8
73,35,73_35,1703,10
23,96,23_96,4801,3
27,71,27_71,3501,4
79,24,79_24,1203,7
23,70,23_70,3501,3
47,81,47_81,4002,4
32,94,32_94,4701,5
95,14,95_14,704,6
62,91,62_91,4503,9
96,75,96_75,3704,6
86,51,86_51,2504,6
11,5,11_5,200,3
90,18,90_18,904,12
2,76,2_76,3800,6
69,3,69_3,103,26
17,38,17_38,1900,4
89,49,89_49,2404,3
22,26,22_26,1301,10
10,39,10_39,1900,7
79,57,79_57,2803,3
10,96,10_96,4800,10
92,17,92_17,804,5
92,39,92_39,1904,8
6,83,6_83,4100,14
22,7,22_7,301,4
19,66,19_66,3300,3
68,37,68_37,1803,5
92,22,92_22,1104,3
60,98,60_98,4903,11
61,11,61_11,503,3
13,74,13_74,3700,8
51,36,51_36,1802,5
18,70,18_70,3500,8
12,26,12_26,1300,6
12,20,12_20,1000,2
51,25,51_25,1202,7
9,6,9_6,300,8
15,39,15_39,1900,8
25,70,25_70,3501,9
82,42,82_42,2104,10
14,33,14_33,1600,7
3,42,3_42,2100,14
23,39,23_39,1901,3
40,69,40_69,3402,7
88,74,88_74,3704,6
11,11,11_11,500,7
21,3,21_3,101,12
32,61,32_61,3001,7
95,8,95_8,404,5
48,58,48_58,2902,4
20,34,20_34,1701,2
8,7,8_7,300,4
80,4,80_4,204,6
79,8,79_8,403,2
98,69,98_69,3404,39
56,97,56_97,4802,5
19,39,19_39,1900,6
44,61,44_61,3002,4
86,32,86_32,1604,7
88,23,88_23,1104,14
70,8,70_8,403,9
90,82,90_82,4104,13
55,90,55_90,4502,6
55,41,55_41,2002,5
3,82,3_82,4100,5
51,72,51_72,3602,3
8,14,8_14,700,3
92,10,92_10,504,3
0,14,0_14,700,3
9,89,9_89,4400,9
63,1,63_1,3,8
63,86,63_86,4303,4
99,75,99_75,3704,13
10,66,10_66,3300,15
40,9,40_9,402,14
76,44,76_44,2203,5
84,25,84_25,1204,7
40,28,40_28,1402,13
74,81,74_81,4003,7
96,34,96_34,1704,6
88,29,88_29,1404,5
24,35,24_35,1701,4
52,73,52_73,3602,7
54,88,54_88,4402,16
72,42,72_42,2103,4
66,93,66_93,4603,3
78,61,78_61,3003,3
12,36,12_36,1800,3
21,98,21_98,4901,6
73,64,73_64,3203,2
98,16,98_16,804,12
62,64,62_64,3203,1
48,75,48_75,3702,7
57,11,57_11,502,3
35,54,35_54,2701,3
51,79,51_79,3902,5
89,7,89_7,304,9
40,4,40_4,202,4
64,13,64_13,603,3
56,76,56_76,3802,5
78,53,78_53,2603,5
54,8,54_8,402,14
44,4,44_4,202,14
40,37,40_37,1802,4
64,57,64_57,2803,7
32,19,32_19,901,2
27,42,27_42,2101,5
62,17,62_17,803,7
91,53,91_53,2604,6
44,11,44_11,502,3
14,44,14_44,2200,6
72,28,72_28,1403,8
70,54,70_54,2703,8
20,94,20_94,4701,2
25,41,25_41,2001,6
83,57,83_57,2804,7
12,65,12_65,3200,5
60,32,60_32,1603,16
55,1,55_1,2,11
17,97,17_97,4800,18
78,72,78_72,3603,7
59,91,59_91,4502,4
52,30,52_30,1502,7
52,10,52_10,502,4
13,35,13_35,1700,3
42,21,42_21,1002,4
60,48,60_48,2403,7
91,4,91_4,204,5
0,40,0_40,2000,8
15,48,15_48,2400,5
87,84,87_84,4204,5
8,86,8_86,4300,7
10,98,10_98,4900,6
1,87,1_87,4300,4
28,95,28_95,4701,14
75,96,75_96,4803,1
93,45,93_45,2204,7
3,99,3_99,4900,4
51,39,51_39,1902,9
76,66,76_66,3303,6
49,25,49_25,1202,20
63,72,63_72,3603,0
66,53,66_53,2603,3
77,16,77_16,803,15
43,79,43_79,3902,4
58,21,58_21,1002,13
97,44,97_44,2204,4
12,69,12_69,3400,15
54,90,54_90,4502,6
72,77,72_77,3803,9
21,60,21_60,3001,8
45,4,45_4,202,13
65,4,65_4,203,3
44,89,44_89,4402,4
72,38,72_38,1903,10
96,45,96_45,2204,15
8,67,8_67,3300,5
27,41,27_41,2001,8
7,11,7_11,500,4
4,96,4_96,4800,3
50,74,50_74,3702,7
20,88,20_88,4401,5
37,59,37_59,2901,1
61,57,61_57,2803,4
58,8,58_8,402,3
0,5,0_5,200,9
19,48,19_48,2400,13
13,93,13_93,4600,5
30,51,30_51,2501,4
61,65,61_65,3203,0
41,50,41_50,2502,4
62,86,62_86,4303,10
81,79,81_79,3904,9
34,42,34_42,2101,6
31,90,31_90,4501,8
98,48,98_48,2404,5
11,31,11_31,1500,6
66,57,66_57,2803,7
30,3,30_3,101,16
86,26,86_26,1304,5
98,88,98_88,4404,8
97,27,97_27,1304,5
96,32,96_32,1604,7
66,73,66_73,3603,2
61,77,61_77,3803,7
72,41,72_41,2003,4
49,39,49_39,1902,5
51,70,51_70,3502,6
51,35,51_35,1702,7
31,60,31_60,3001,24
79,81,79_81,4003,6
72,3,72_3,103,18
55,64,55_64,3202,2
31,76,31_76,3801,13
9,73,9_73,3600,5
55,75,55_75,3702,16
40,46,40_46,2302,4
78,20,78_20,1003,7
44,39,44_39,1902,20
91,50,91_50,2504,6
26,80,26_80,4001,10
43,23,43_23,1102,4
41,72,41_72,3602,6
73,60,73_60,3003,9
55,83,55_83,4102,11
7,98,7_98,4900,7
62,27,62_27,1303,2
50,59,50_59,2902,6
22,77,22_77,3801,6
12,35,12_35,1700,7
83,68,83_68,3404,6
28,35,28_35,1701,10
88,76,88_76,3804,8
